Name,Manufacturer,Fuel_Type,Transmission,Engine(CC),Mileage(Km/L),Seats,Price,cluster
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Diesel,Automatic,1968,17.11,5,21.43,3
Maruti Swift LDI,Maruti,Diesel,Manual,1248,22.9,5,4.25,4
Maruti Swift Ldi BSIV,Maruti,Diesel,Manual,1248,17.8,5,3.3,4
Maruti Swift VDI,Maruti,Diesel,Manual,1248,28.4,5,3.85,4
Hyundai Grand i10 Sportz,Hyundai,Petrol,Manual,1197,18.9,5,3.6,0
Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Petrol,Manual,1598,15.04,5,3.99,0
Renault KWID RXT,Renault,Petrol,Manual,799,25.17,5,3.3,0
Hyundai i10 Asta,Hyundai,Petrol,Manual,1197,20.36,5,2.07,0
Nissan X-Trail SLX AT,Nissan,Diesel,Automatic,1995,13.29,5,7.75,3
Maruti Zen Estilo VXI BSIII,Maruti,Petrol,Manual,998,18.2,5,2.25,0
Ford Figo Diesel Titanium,Ford,Diesel,Manual,1399,20.0,5,2.75,4
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedesbenz,Petrol,Automatic,1796,11.74,5,26.7,2
Mercedes-Benz New C-Class 200 CDI Classic,Mercedesbenz,Diesel,Manual,2148,15.8,5,10.0,1
Tata Indica V2 eLS,Tata,Diesel,Manual,1396,25.0,5,2.5,4
Audi A4 2.0 TDI Multitronic,Audi,Diesel,Automatic,1968,16.55,5,13.5,3
Honda City ZX CVT,Honda,Petrol,Automatic,1497,16.4,5,1.85,2
Mercedes-Benz C-Class Progressive C 220d,Mercedesbenz,Diesel,Automatic,1950,0.0,5,35.67,3
Maruti Ertiga SHVS VDI,Maruti,Diesel,Manual,1248,24.52,7,8.15,4
Hyundai Creta 1.4 E Plus Diesel,Hyundai,Diesel,Manual,1396,22.1,5,10.5,1
Porsche Cayenne 2009-2014 Turbo,Porsche,Petrol,Automatic,4806,8.5,5,14.5,2
Mahindra XUV500 W8 4WD,Mahindra,Diesel,Manual,2179,15.1,7,9.65,5
Hyundai i10 Sportz 1.2 AT,Hyundai,Petrol,Automatic,1197,16.95,5,3.48,2
Nissan Terrano XV D Pre,Nissan,Diesel,Manual,1461,19.64,5,6.92,1
Honda Brio VX AT,Honda,Petrol,Automatic,1198,16.5,5,6.46,2
Audi A6 2.0 TDI Design Edition,Audi,Diesel,Automatic,1968,18.53,5,29.5,3
Ford Fiesta 1.4 SXi TDCi,Ford,Diesel,Manual,1399,17.8,5,2.0,4
Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Diesel,Manual,2494,12.8,7,11.75,5
Hyundai Santro Xing XL,Hyundai,Petrol,Manual,1086,0.0,5,1.3,0
Maruti Swift VDI,Maruti,Diesel,Manual,1248,22.9,5,3.75,4
Tata Zest Revotron 1.2T XE,Tata,Petrol,Manual,1193,17.57,5,4.5,0
Honda Amaze SX i-VTEC,Honda,Petrol,Manual,1198,18.0,5,4.82,0
Ford Figo Diesel ZXI,Ford,Diesel,Manual,1399,20.0,5,2.8,4
Maruti Ritz VDi,Maruti,Diesel,Manual,1248,23.2,5,3.11,4
Honda City i VTEC E,Honda,Petrol,Manual,1497,17.8,5,3.25,0
BMW 5 Series 2003-2012 525d,Bmw,Diesel,Automatic,1995,16.73,5,13.9,3
Hyundai i10 Sportz 1.2,Hyundai,Petrol,Manual,1197,20.36,5,2.25,0
Hyundai Grand i10 Sportz,Hyundai,Petrol,Manual,1197,18.9,5,5.75,0
Hyundai Santro Xing XO,Hyundai,Petrol,Manual,1086,17.0,5,2.1,0
Honda Amaze SX i-VTEC,Honda,Petrol,Manual,1198,17.8,5,5.0,0
Toyota Fortuner 4x2 Manual,Toyota,Diesel,Manual,2982,13.0,7,16.5,5
Audi A6 2011-2015 35 TDI Premium,Audi,Diesel,Automatic,1968,17.68,5,39.58,3
Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Diesel,Manual,1498,22.7,5,5.5,4
Mahindra XUV500 W8 2WD,Mahindra,Diesel,Manual,2179,15.1,7,8.1,5
Honda Amaze SX i-DTEC,Honda,Diesel,Manual,1498,25.8,5,3.5,4
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,2.79,1
Hyundai Verna Transform SX VGT CRDi,Hyundai,Diesel,Manual,1493,16.2,5,3.45,1
Maruti Wagon R VXI BS IV,Maruti,Petrol,Manual,998,18.9,5,4.45,0
Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Petrol,Manual,1598,15.26,5,2.65,0
Hyundai i20 1.4 CRDi Sportz,Hyundai,Diesel,Manual,1396,23.0,5,3.8,1
Hyundai i20 Asta 1.2,Hyundai,Petrol,Manual,1197,18.5,5,4.65,0
Datsun GO Plus T Petrol,Datsun,Petrol,Manual,1198,19.83,7,3.95,0
Audi A4 3.0 TDI Quattro Premium,Audi,Diesel,Automatic,2967,14.94,5,9.8,3
Hyundai i20 2015-2017 Asta,Hyundai,Petrol,Manual,1197,17.0,5,2.7,0
Maruti Omni 5 Str STD,Maruti,Petrol,Manual,796,14.0,5,2.41,0
Toyota Etios Liva 1.2 G,Toyota,Petrol,Manual,1197,17.71,5,3.9,0
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Diesel,Automatic,2993,14.74,5,24.0,3
Mahindra XUV500 W8 2WD,Mahindra,Diesel,Manual,2179,16.0,7,5.75,5
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Diesel,Automatic,1582,22.32,5,5.25,3
Toyota Innova Crysta 2.8 ZX AT,Toyota,Diesel,Automatic,2755,11.36,7,19.25,3
Maruti Eeco 5 Seater AC,Maruti,Petrol,Manual,1196,15.1,5,3.91,0
Tata Nano Twist XT,Tata,Petrol,Manual,624,25.4,4,2.15,0
BMW 3 Series 320d Luxury Line,Bmw,Diesel,Automatic,1995,22.69,5,20.75,3
Honda Civic 2006-2010 1.8 V MT,Honda,Petrol,Manual,1799,13.5,5,3.35,0
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Diesel,Manual,2494,12.99,7,11.11,5
Volvo V40 Cross Country D3,Volvo,Diesel,Automatic,1984,23.3,5,20.0,3
Nissan Micra XV CVT,Nissan,Petrol,Automatic,1198,19.15,5,6.55,2
BMW 5 Series 2010-2013 525i,Bmw,Petrol,Automatic,2497,10.8,5,7.0,2
Maruti Vitara Brezza VDi,Maruti,Diesel,Manual,1248,24.3,5,7.5,4
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Petrol,Manual,1086,17.0,5,0.85,0
Mercedes-Benz B Class B200 CDI,Mercedesbenz,Diesel,Automatic,2143,15.0,5,16.75,3
Hyundai Verna CRDi 1.6 SX Option,Hyundai,Diesel,Manual,1582,22.0,5,10.95,1
Maruti Wagon R LXI BS IV,Maruti,Petrol,Manual,998,18.9,5,2.45,0
Tata Nano XTA,Tata,Petrol,Automatic,624,21.9,4,3.23,2
Mercedes-Benz New C-Class 200 K AT,Mercedesbenz,Petrol,Automatic,1796,11.7,5,9.35,2
Maruti Wagon R LXI CNG,Maruti,CNG,Manual,998,26.6,5,3.25,4
Honda CR-V 2.4 MT,Honda,Petrol,Manual,2354,10.8,5,5.25,0
Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Diesel,Automatic,1498,21.21,5,7.25,3
Maruti Ciaz VXi Plus,Maruti,Petrol,Manual,1373,20.73,5,7.47,0
Mahindra XUV500 AT W10 FWD,Mahindra,Diesel,Automatic,2179,16.0,7,13.25,3
Maruti Ritz VXI ABS,Maruti,Petrol,Manual,1197,21.1,5,5.81,0
Maruti Alto K10 VXI,Maruti,Petrol,Manual,998,24.07,5,2.6,0
Mercedes-Benz SLC 43 AMG,Mercedesbenz,Petrol,Automatic,2996,19.0,2,54.0,2
Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Petrol,Automatic,1591,17.0,5,11.5,2
Maruti Alto LXi BSIII,Maruti,Petrol,Manual,796,19.7,5,1.6,0
BMW 1 Series 118d Base,Bmw,Diesel,Automatic,1995,20.58,5,17.22,3
Honda Jazz 1.2 V CVT i VTEC,Honda,Petrol,Automatic,1199,19.0,5,6.0,2
Honda Civic 2006-2010 1.8 V MT,Honda,Petrol,Manual,1799,13.5,5,3.95,0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedesbenz,Diesel,Automatic,2143,19.27,5,17.95,3
Honda Amaze SX i-DTEC,Honda,Diesel,Manual,1498,25.8,5,3.7,4
Maruti Swift VVT VXI,Maruti,Petrol,Manual,1197,22.0,5,5.43,0
Hyundai Santro Xing XO eRLX Euro II,Hyundai,Petrol,Manual,1086,17.0,5,1.67,0
Toyota Fortuner 3.0 Diesel,Toyota,Diesel,Manual,2982,11.5,7,13.49,5
Chevrolet Beat LT Option,Chevrolet,Petrol,Manual,1199,18.6,5,2.85,0
Skoda Rapid 1.5 TDI Elegance,Skoda,Diesel,Manual,1498,21.14,5,4.75,1
Maruti Ciaz 1.4 Alpha,Maruti,Petrol,Manual,1373,20.73,5,9.9,0
Audi RS5 Coupe,Audi,Petrol,Automatic,2894,11.05,4,37.0,2
BMW 3 Series Luxury Line,Bmw,Diesel,Automatic,1995,21.76,5,26.5,3
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Diesel,Automatic,1968,17.11,5,23.32,3
Maruti Swift VDI,Maruti,Diesel,Manual,1248,22.9,5,6.25,4
Mercedes-Benz S Class 2005 2013 S 500,Mercedesbenz,Petrol,Automatic,5461,7.81,5,30.0,2
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,Diesel,Automatic,1498,21.66,5,9.86,3
Skoda Superb Elegance 2.0 TDI CR AT,Skoda,Diesel,Automatic,1968,17.2,5,8.5,3
Hyundai EON Magna Plus,Hyundai,Petrol,Manual,814,21.1,5,4.23,0
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,3.5,1
Datsun GO NXT,Datsun,Petrol,Manual,1198,20.63,5,2.5,0
Honda Brio S MT,Honda,Petrol,Manual,1198,19.4,5,2.39,0
Mercedes-Benz B Class B180,Mercedesbenz,Petrol,Automatic,1595,14.8,5,11.25,2
Honda City i DTEC V,Honda,Diesel,Manual,1498,26.0,5,7.11,4
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Diesel,Manual,2494,12.99,7,10.9,5
Maruti Swift VXI Optional,Maruti,Petrol,Manual,1197,20.4,5,6.2,0
Mahindra XUV500 W8 2WD,Mahindra,Diesel,Manual,2179,15.1,7,7.9,5
Ford Ecosport 1.5 DV5 MT Ambiente,Ford,Diesel,Manual,1498,22.7,5,4.42,4
Toyota Fortuner 4x2 Manual,Toyota,Diesel,Manual,2982,13.0,7,13.5,5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,Diesel,Automatic,1498,21.5,5,6.25,3
Ford Figo Diesel Titanium,Ford,Diesel,Manual,1399,20.0,5,2.1,4
BMW X5 xDrive 30d,Bmw,Diesel,Automatic,2993,15.3,5,45.0,3
Mercedes-Benz New C-Class C 220 CDI Style,Mercedesbenz,Diesel,Automatic,2143,19.27,5,33.66,3
Honda Brio V MT,Honda,Petrol,Manual,1198,19.4,5,3.65,0
Hyundai i10 Magna 1.2,Hyundai,Petrol,Manual,1197,20.36,5,2.75,0
Mercedes-Benz GLC 220,Mercedesbenz,Diesel,Automatic,2143,17.9,5,42.5,3
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,Petrol,Manual,1197,18.9,5,6.5,0
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Diesel,Automatic,1968,17.68,5,19.0,3
Volkswagen Vento Petrol Highline AT,Volkswagen,Petrol,Automatic,1598,14.4,5,4.45,2
Mini Countryman Cooper D,Mini,Diesel,Automatic,1998,16.6,5,23.0,3
Hyundai i20 Asta 1.4 CRDi,Hyundai,Diesel,Manual,1396,22.54,5,8.35,1
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Diesel,Automatic,1968,17.68,5,22.95,3
Chevrolet Beat Diesel LT,Chevrolet,Diesel,Manual,936,25.44,5,1.5,1
Skoda Superb Elegance 1.8 TSI AT,Skoda,Petrol,Automatic,1798,13.7,5,6.89,2
Ford Fiesta 1.4 TDCi EXI Limited Edition,Ford,Diesel,Manual,1399,17.8,5,1.45,4
BMW 5 Series 520d Luxury Line,Bmw,Diesel,Automatic,1995,22.48,5,33.5,3
Chevrolet Optra Magnum 1.6 LS BS3,Chevrolet,Petrol,Manual,1598,12.9,5,1.25,0
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,4.2,1
Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedesbenz,Diesel,Automatic,2143,13.0,5,32.0,3
Maruti Baleno Alpha,Maruti,Petrol,Manual,1197,21.4,5,7.5,0
Hyundai Verna 1.6 SX,Hyundai,Diesel,Manual,1582,22.32,5,4.6,1
Hyundai i10 Magna 1.1,Hyundai,Petrol,Manual,1086,19.81,5,4.04,0
Mahindra Scorpio 1.99 S10 4WD,Mahindra,Diesel,Manual,1997,15.4,7,10.31,5
Land Rover Range Rover 2.2L Dynamic,Land,Diesel,Automatic,2179,12.7,5,55.76,3
Ford Figo Diesel ZXI,Ford,Diesel,Manual,1399,20.0,5,2.6,4
Maruti Ertiga ZDI,Maruti,Diesel,Manual,1248,25.47,7,8.5,4
Honda Amaze S i-Dtech,Honda,Diesel,Manual,1498,25.8,5,3.5,4
Hyundai i10 Magna,Hyundai,Petrol,Manual,1197,20.36,5,3.55,0
Honda Amaze S i-Dtech,Honda,Diesel,Manual,1498,25.8,5,3.25,4
Skoda Laura Ambiente,Skoda,Diesel,Manual,1896,17.5,5,4.5,1
Renault Duster 85PS Diesel RxL,Renault,Diesel,Manual,1461,19.87,5,5.35,1
Mahindra NuvoSport N6,Mahindra,Diesel,Manual,1493,17.45,7,6.5,5
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Diesel,Manual,1248,24.3,5,9.0,4
Hyundai i20 Asta Option 1.2,Hyundai,Petrol,Manual,1197,18.6,5,6.0,0
Skoda Fabia 1.4 MPI Ambiente,Skoda,Petrol,Manual,1390,14.7,5,2.75,0
Tata Indigo eCS GLX,Tata,Petrol,Manual,1193,15.64,5,1.5,0
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,Diesel,Automatic,1968,15.73,5,19.9,3
Skoda Octavia Elegance 1.8 TSI AT,Skoda,Petrol,Automatic,1798,14.7,5,10.0,2
Toyota Etios Liva GD SP,Toyota,Diesel,Manual,1364,23.59,5,3.0,5
Mercedes-Benz B Class B180,Mercedesbenz,Petrol,Automatic,1595,14.8,5,11.96,2
Honda Amaze S Diesel,Honda,Diesel,Manual,1498,27.4,5,3.25,4
Hyundai Verna 1.6 SX,Hyundai,Diesel,Manual,1582,22.32,5,4.75,1
Renault Duster 85PS Diesel RxL Optional,Renault,Diesel,Manual,1461,20.46,5,5.95,1
Hyundai Creta 1.6 VTVT S,Hyundai,Petrol,Manual,1591,15.29,5,8.15,0
Maruti Wagon R AMT VXI,Maruti,Petrol,Automatic,998,20.51,5,4.22,2
Mercedes-Benz New C-Class C250 Avantgarde,Mercedesbenz,Petrol,Automatic,1796,11.74,5,10.5,2
Audi A8 L 3.0 TDI quattro,Audi,Diesel,Automatic,2967,11.8,5,45.0,3
Hyundai i10 Magna 1.1,Hyundai,Petrol,Manual,1086,19.81,5,2.9,0
Skoda Rapid 1.6 MPI AT Style Black Package,Skoda,Petrol,Automatic,1598,14.3,5,8.9,2
Skoda Superb Style 1.8 TSI AT,Skoda,Petrol,Automatic,1798,14.67,5,26.0,2
Hyundai i20 Active 1.2 SX,Hyundai,Petrol,Manual,1197,17.19,5,8.22,0
Honda Amaze VX i-DTEC,Honda,Diesel,Manual,1498,25.8,5,3.5,4
Maruti Wagon R LXI,Maruti,Petrol,Manual,998,18.9,5,1.25,0
Mahindra Verito 1.5 D4 BSIV,Mahindra,Diesel,Manual,1461,21.03,5,3.7,5
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mercedesbenz,Diesel,Automatic,2143,19.27,5,39.41,3
Maruti Wagon R VXI,Maruti,Petrol,Manual,998,22.5,5,2.65,0
Nissan Terrano XV Premium 110 PS Anniversary Edition,Nissan,Diesel,Manual,1461,19.01,5,8.92,1
Maruti Swift VDI BSIV,Maruti,Diesel,Manual,1248,17.8,5,4.1,4
Mini Cooper Convertible S,Mini,Petrol,Automatic,1998,16.82,4,35.67,2
Tata Indica V2 DLS BSII,Tata,Diesel,Manual,1396,17.2,5,0.85,4
Chevrolet Beat LT,Chevrolet,Petrol,Manual,1199,18.6,5,3.32,0
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Diesel,Manual,1199,22.07,5,3.6,1
Maruti Swift ZDi,Maruti,Diesel,Manual,1248,22.9,5,6.8,4
Ford Figo Diesel EXI,Ford,Diesel,Manual,1399,20.0,5,2.5,4
Toyota Innova Crysta 2.8 GX AT,Toyota,Diesel,Automatic,2755,11.36,7,19.64,3
Hyundai Santa Fe 4x4 AT,Hyundai,Diesel,Automatic,2199,11.72,7,7.0,3
Honda City i-VTEC V,Honda,Petrol,Manual,1497,17.4,5,3.87,0
Hyundai i20 1.2 Magna Executive,Hyundai,Petrol,Manual,1197,18.6,5,6.27,0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mercedesbenz,Diesel,Automatic,2143,19.27,5,18.12,3
Chevrolet Beat Diesel LT,Chevrolet,Diesel,Manual,936,25.44,5,2.65,1
Hyundai i20 Sportz 1.4 CRDi,Hyundai,Diesel,Manual,1396,22.54,5,7.2,1
Toyota Innova 2.5 Z Diesel 7 Seater,Toyota,Diesel,Manual,2494,12.99,7,14.3,5
Maruti Ertiga VDI,Maruti,Diesel,Manual,1248,20.77,7,6.9,4
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Diesel,Manual,2494,12.8,7,10.75,5
Hyundai Santro Xing XO eRLX Euro II,Hyundai,Petrol,Manual,1086,17.0,5,0.95,0
Honda City i VTEC V,Honda,Petrol,Manual,1497,17.8,5,8.09,0
BMW X1 sDrive20d,Bmw,Diesel,Automatic,1995,17.05,5,18.5,3
Hyundai Grand i10 CRDi Era,Hyundai,Diesel,Manual,1120,24.0,5,4.75,1
Maruti Ciaz 1.3 Alpha,Maruti,Diesel,Manual,1248,28.09,5,8.45,4
Skoda Rapid Leisure 1.6 TDI MT,Skoda,Diesel,Manual,1598,20.5,5,3.5,1
Hyundai Accent CRDi,Hyundai,Diesel,Manual,1493,13.1,5,1.8,1
Volkswagen Polo GT 1.5 TDI,Volkswagen,Diesel,Manual,1498,19.91,5,3.7,1
Honda Jazz 1.2 VX i VTEC,Honda,Petrol,Manual,1199,18.7,5,7.17,0
Hyundai i10 Era,Hyundai,Petrol,Manual,1086,19.81,5,1.75,0
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Hyundai,Diesel,Automatic,1995,16.38,5,21.99,3
Toyota Innova Crysta 2.4 ZX MT,Toyota,Diesel,Manual,2393,13.68,7,18.65,5
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Maruti,Petrol,Manual,796,19.7,5,1.85,0
Maruti Swift VXI BSIV,Maruti,Petrol,Manual,1197,20.4,5,5.95,0
Hyundai Grand i10 Magna,Hyundai,Petrol,Manual,1197,18.9,5,3.75,0
Maruti Swift VDI,Maruti,Diesel,Manual,1248,22.9,5,3.75,4
Hyundai Verna CRDi 1.6 SX,Hyundai,Diesel,Manual,1582,22.0,5,2.6,1
Hyundai Santro Xing XL,Hyundai,Petrol,Manual,1086,0.0,5,1.75,0
Hyundai i20 1.2 Sportz,Hyundai,Petrol,Manual,1197,17.0,5,2.8,0
Mercedes-Benz GLE 350d,Mercedesbenz,Diesel,Automatic,2987,11.57,5,61.29,3
Mercedes-Benz New C-Class C 220 CDI CLASSIC,Mercedesbenz,Diesel,Manual,2148,15.8,5,18.0,1
Maruti Ritz ZDi,Maruti,Diesel,Manual,1248,23.2,5,4.35,4
Hyundai Creta 1.6 CRDi SX,Hyundai,Diesel,Manual,1582,19.67,5,13.75,1
Maruti A-Star Vxi,Maruti,Petrol,Manual,998,19.0,5,2.0,0
Renault Duster 110PS Diesel RXZ Option,Renault,Diesel,Manual,1461,19.64,5,10.0,1
Fiat Grande Punto 1.3 Emotion Pack (Diesel),Fiat,Diesel,Manual,1248,17.8,5,1.65,1
BMW X3 xDrive30d M Sport,Bmw,Diesel,Automatic,2993,16.55,5,45.77,3
Hyundai i10 Sportz,Hyundai,Petrol,Manual,1197,20.36,5,3.25,0
Toyota Innova 2.5 G4 Diesel 7-seater,Toyota,Diesel,Manual,2494,12.8,7,12.8,5
Maruti Zen VXI BSII,Maruti,Petrol,Manual,993,17.3,5,0.55,0
Maruti Swift VDI,Maruti,Diesel,Manual,1248,28.4,5,7.15,4
Tata Zest Quadrajet 1.3 75PS XE,Tata,Diesel,Manual,1248,22.95,5,3.75,4
Ford EcoSport 1.0 Ecoboost Titanium Plus,Ford,Petrol,Manual,999,18.88,5,8.5,0
Maruti Swift Dzire ZDI,Maruti,Diesel,Manual,1248,23.4,5,4.35,4
Maruti Alto 800 LXI,Maruti,Petrol,Manual,796,22.74,5,3.26,0
Honda City 1.5 S MT,Honda,Petrol,Manual,1497,17.0,5,4.21,0
Audi Q7 3.0 TDI Quattro Technology,Audi,Diesel,Automatic,2967,12.07,7,70.36,3
Skoda Laura 1.9 TDI AT Ambiente,Skoda,Diesel,Automatic,1896,17.0,5,2.95,3
Hyundai Verna 1.6 SX VTVT (O),Hyundai,Petrol,Manual,1591,17.1,5,4.28,0
Honda City 1.5 V AT,Honda,Petrol,Automatic,1497,16.8,5,3.57,2
Hyundai i20 Magna Optional 1.4 CRDi,Hyundai,Diesel,Manual,1396,21.9,5,3.11,1
Hyundai i20 Sportz AT 1.4,Hyundai,Petrol,Automatic,1396,15.0,5,5.96,2
Volkswagen Vento Diesel Highline,Volkswagen,Diesel,Manual,1598,20.54,5,4.7,1
Honda City i VTEC VX,Honda,Petrol,Manual,1497,17.4,5,6.9,0
Tata Zest Quadrajet 1.3 75PS XE,Tata,Diesel,Manual,1248,22.95,5,5.25,4
BMW 5 Series 2003-2012 520d,Bmw,Diesel,Automatic,1995,18.48,5,28.0,3
Maruti Wagon R LXI Minor,Maruti,Petrol,Manual,1061,18.9,5,1.35,0
Honda Jazz VX,Honda,Petrol,Manual,1199,18.2,5,4.85,0
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Volkswagen,Diesel,Manual,1896,15.0,5,6.7,1
Hyundai i10 Magna 1.2,Hyundai,Petrol,Manual,1197,20.36,5,3.1,0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedesbenz,Diesel,Automatic,2143,19.27,5,18.64,3
Hyundai i10 Magna 1.2 iTech SE,Hyundai,Petrol,Manual,1197,20.36,5,2.8,0
Toyota Innova Crysta 2.4 ZX MT,Toyota,Diesel,Manual,2393,13.68,7,20.25,5
Audi A6 2011-2015 2.0 TDI Technology,Audi,Diesel,Automatic,1968,17.68,5,26.78,3
